序号,原句,原句翻译,insert变异,insert变异翻译,insert变异翻译去括号,原句翻译去括号,请问这组插入变异是否存在句子翻译(去除括号后)不一致的错误
0,"So, LYAC is a capable and multi - functional unit for teaching, scientific research and up - scale technologies.",因此，辽宁航空工业集团有限公司是一个集教学、科研和高端技术为一体的多功能、能力强的单位。,"So, LYAC is a capable and multi - functional unit for teaching, scientific research (research performed using the scientific method) and up - scale technologies.",因此，LYAC 是一个能力强、多功能的教学、科学研究（使用科学方法进行的研究）和高端技术单位。,因此，LYAC 是一个能力强、多功能的教学、科学研究和高端技术单位。,因此，辽宁航空工业集团有限公司是一个集教学、科研和高端技术为一体的多功能、能力强的单位。
1,"(1) Where a construction site is situated on, or adjacent to, water into which a workman is liable to fall with risk of drowning, the contractor responsible for the site shall-",(1) 如果建筑工地位于或邻近工人容易掉入水中并有溺水危险的水域，负责该工地的承包商应——,"(1) Where a construction site (a place where a building or other physical structure is under construction) is situated on, or adjacent to, water into which a workman is liable to fall with risk of drowning, the contractor responsible for the site shall-",(c) 在第(1)款中，承建商须确保在建造工程的当日，就该工程的承建商的姓名或名称，以及该工程的承建商的地址，以及该工程的承建商的地址，均符合第(1)款的规定。, 在第款中，承建商须确保在建造工程的当日，就该工程的承建商的姓名或名称，以及该工程的承建商的地址，以及该工程的承建商的地址，均符合第款的规定。, 如果建筑工地位于或邻近工人容易掉入水中并有溺水危险的水域，负责该工地的承包商应——
2,Concluding Act of the Negotiations on Personnel Strength of Conventional Armed Forces in Europe,欧洲常规武装部队兵力谈判结论文件,"Concluding Act of the Negotiations on Personnel Strength of Conventional Armed Forces (the military forces of a nation, such as the army, navy, air force, marines, and sometimes, coastguard or border guard, which are tasked with the defence of the nation and its citizens, if necessary through use of deadly force) in Europe",关于常规武装部队人员力量谈判的结论性法案（一个国家的军事力量，例如陆军、海军、空军、海军陆战队，有时还有海岸警卫队或边防部队，其任务是保卫国家和其公民（如有必要，可使用致命武力）在欧洲,关于常规武装部队人员力量谈判的结论性法案一个国家的军事力量，例如陆军、海军、空军、海军陆战队，有时还有海岸警卫队或边防部队，其任务是保卫国家和其公民在欧洲,欧洲常规武装部队兵力谈判结论文件
3,and it was unanimously adopted by every head of state in the world.,它得到了世界各国元首的一致通过。,"and it was unanimously adopted by every head of state (the chief public representative of a nation having duties, privileges and responsibilities varying greatly depending on the constitutional rules; a monarch in a monarchy, and often styled president in a republic, but variations such as collegiality exist) in the world.",它被每一位国家元首（一个国家的首席公共代表，其职责、特权和责任根据宪法规则的不同而有很大差异；君主制国家中的君主，在共和国中通常被称为总统，但也有一些变化，例如世界上存在合议制。,它被每一位国家元首一个国家的首席公共代表，其职责、特权和责任根据宪法规则的不同而有很大差异；君主制国家中的君主，在共和国中通常被称为总统，但也有一些变化，例如世界上存在合议制。,它得到了世界各国元首的一致通过。
4,"""Is the wording of"" ""confirmed"" ""necessary for the letter of credit?""",“信用证必须有‘保兑’字样吗？”,"""Is the wording of"" ""confirmed"" ""necessary for the letter of credit (a document, used primarily in trade finance and issued generally by a financial institution, in which the institution promises to pay debts up to a certain limit to be acquired by the beneficiary against delivery of documents specified in the letter)?""",“信用证（一种主要用于贸易融资并通常由金融机构签发的文件，其中该机构承诺支付一定限额的债务，信用证中是否需要”“已确认”的措辞？受益人是否收到信中指定的文件）？”,“信用证？”,“信用证必须有‘保兑’字样吗？”
5,"The superoxide anion(O · 2) produced by NBT PMS NADH system was scavenged and the lipid peroxidation induced by Fe 2+ ascorbic acid in mouse liver microsome was inhibited, the hemolysis of rat RBC induced by H 2O 2 was antagonized.","结论:在体外,抗坏血酸(ACR)诱导的小鼠肝微粒体过氧化应激(P&lt;0.01),而抗坏血酸(ACR)诱导的小鼠红细胞溶血应激(P&lt;0.01)。","The superoxide anion(O · 2) produced by NBT PMS NADH system was scavenged and the lipid peroxidation induced by Fe 2+ ascorbic acid (a white crystalline organic compound, C6H8O6, found in citrus fruits and many vegetables; it is an antioxidant and an efficient scavenger of free radicals) in mouse liver microsome was inhibited, the hemolysis of rat RBC induced by H 2O 2 was antagonized.",结果表明，该化合物能清除NBT—PMS—NADH体系产生的超氧阴离子（O·2 ），抑制Fe 2+抗坏血酸（一种白色结晶有机化合物，C6H8O6，存在于柑橘类水果和许多蔬菜中，是一种抗氧化剂和有效的自由基清除剂）引起的小鼠肝微粒体过氧化脂质，拮抗H 2 O 2 引起的大鼠红细胞溶血。,结果表明，该化合物能清除NBT—PMS—NADH体系产生的超氧阴离子，抑制Fe 2+抗坏血酸引起的小鼠肝微粒体过氧化脂质，拮抗H 2 O 2 引起的大鼠红细胞溶血。,"结论:在体外,抗坏血酸诱导的小鼠肝微粒体过氧化应激,而抗坏血酸诱导的小鼠红细胞溶血应激。"
6,"During the same period the accumulated inflation rate, measured by the Consumer Price Index in Maputo, reached 4.6 percent, with declared exports of 415 million euros(US$533 million) in the first six months.",莫桑比克马普托11月13日电－莫桑比克国家统计局周四公布，莫桑比克今年前6个月的出口额为4.15亿欧元（约合5.33亿美元），同比分别增长11.4%和10.6%。,"During the same period the accumulated inflation rate, measured by the Consumer Price Index (a statistical estimate of the level of prices of goods and services bought for consumption purposes by households) in Maputo, reached 4.6 percent, with declared exports of 415 million euros(US$533 million) in the first six months.",同期，马普托的累计通货膨胀率（以消费者物价指数（家庭为消费目的购买的商品和服务价格水平的统计估计））达到4.6%，前六个月的出口额为4.15亿欧元（5.33亿美元）。,同期，马普托的累计通货膨胀率达到4.6%，前六个月的出口额为4.15亿欧元。,莫桑比克马普托11月13日电－莫桑比克国家统计局周四公布，莫桑比克今年前6个月的出口额为4.15亿欧元，同比分别增长11.4%和10.6%。
7,No person shall in any tunnel unless directed or signalled by an authorized officer or unless conforming to the indication of any traffic sign displayed under these regulations-,除非获授权人员指示或发出信号，或除非符合根据本规例展示的任何交通标志的指示，否则任何人不得在任何隧道内 ——,No person shall in any tunnel unless directed or signalled by an authorized officer or unless conforming to the indication of any traffic sign (a sign for the control of traffic or the information of drivers) displayed under these regulations-,(a) 凡在隧道内有车辆驶入或驶出隧道，而该车辆是为控制交通而设，则隧道的关闭并不影响该车辆驶入或驶出隧道的正常进行。, 凡在隧道内有车辆驶入或驶出隧道，而该车辆是为控制交通而设，则隧道的关闭并不影响该车辆驶入或驶出隧道的正常进行。,除非获授权人员指示或发出信号，或除非符合根据本规例展示的任何交通标志的指示，否则任何人不得在任何隧道内 ——
8,She's 20 years too young to get a deep vein thrombosis.,她还年轻20岁，不可能患上深静脉血栓。,"She's 20 years too young to get a deep vein thrombosis (a potentially fatal condition in which one or more thrombi (or clots) form in the predominantly the leg or, more unusually, the arm, the clot may break free from the venous wall and travel via the circulatory system to the heart or to the lungs (causing a pulmonary embolism); this condition is often caused by keeping the legs bent for long periods but can also be caused by other medical problems).",她还年轻 20 岁，不可能患上深静脉血栓（这是一种潜在致命的疾病，主要在腿部或更罕见的手臂上形成一个或多个血栓（或凝块），凝块可能会从静脉壁上脱落，通过循环系统到达心脏或肺部（导致肺栓塞）；这种情况通常是由于长时间弯曲腿部引起的，但也可能是由其他医疗问题引起的。,她还年轻 20 岁，不可能患上深静脉血栓这是一种潜在致命的疾病，主要在腿部或更罕见的手臂上形成一个或多个血栓，凝块可能会从静脉壁上脱落，通过循环系统到达心脏或肺部；这种情况通常是由于长时间弯曲腿部引起的，但也可能是由其他医疗问题引起的。,她还年轻20岁，不可能患上深静脉血栓。
9,"(1) No person shall, directly or indirectly, in connection with any leveraged foreign exchange trading with any other person-",(c) 凡任何人根据第(2)款获授权代表任何人，或因任何根据第(1)款获授权代表任何人，而该等授权是因该等授权而引致的。,"(1) No person shall, directly or indirectly, in connection with any leveraged foreign exchange (foreign currency) trading with any other person-",(c) 就本条例而言，任何人不得直接或间接地就任何杠杆式外汇(外币)交易而向任何人士或实体或实体订立任何合约。, 就本条例而言，任何人不得直接或间接地就任何杠杆式外汇交易而向任何人士或实体或实体订立任何合约。, 凡任何人根据第款获授权代表任何人，或因任何根据第款获授权代表任何人，而该等授权是因该等授权而引致的。
10,"""special drawing rights"" (特别提款权单位) means units of account used by the International Monetary Fund and known as special drawing rights;","""special drawing rights"" (特别提款权单位) means units of account used by the International Monetary Fund and known as special drawing rights;","""special drawing rights"" (特别提款权单位) means units of account used by the International Monetary Fund (the international organization entrusted with overseeing the global financial system by monitoring foreign exchange rates and balance of payments, as well as offering technical and financial assistance when asked) and known as special drawing rights;",“特别提款权单位” (special drawing rights) 指国际货币基金组织（负责监督外汇汇率和国际收支，并应要求提供技术和财政援助，以监督全球金融体系的国际组织）使用的记账单位，称为特别提款权；,“特别提款权单位” 指国际货币基金组织使用的记账单位，称为特别提款权；,"""special drawing rights"" means units of account used by the International Monetary Fund and known as special drawing rights;"
11,"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service""",&quot;香港社会服务联会家庭及幼儿服务部主任&quot;,"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service (a government-run program meant to benefit society as a whole, with a particular view to the less economically fortunate)""",”,”,&quot;香港社会服务联会家庭及幼儿服务部主任&quot;
12,"""where a bill payable to, or to the order of, a third party is paid by the drawer, the drawer may enforce payment thereof against the acceptor, but may not reissue the bill;""",”,"""where a bill payable to, or to the order of, a third party (someone not directly involved in a transaction; an entity beyond the seller (first party) and customer (second party)) is paid by the drawer, the drawer may enforce payment thereof against the acceptor, but may not reissue the bill;""",“如果应付第三方（不直接参与交易的人；卖方（第一方）和客户（第二方）之外的实体）或按照第三方的指示付款的汇票由出票人付款，则出票人可以强制承兑人付款，但不得重新签发汇票；”,“如果应付第三方或按照第三方的指示付款的汇票由出票人付款，则出票人可以强制承兑人付款，但不得重新签发汇票；”,”
13,"Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring.","Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring.","Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring (a natural spring producing water whose temperature is greater than about 20°C (68°F)).",沿惠河高速公路行驶，从四角楼或太美出口下高速公路，经平岭到达龙门温泉（天然泉水，水温高于 20°C (68°F)）。,沿惠河高速公路行驶，从四角楼或太美出口下高速公路，经平岭到达龙门温泉。,"Drive along Huihe Expressway, leave the expressway at Si Jiao Lou or Tai Mei Exit, via Pingling to Longmen Hot Spring."
14,"This event indicates an attempt to create a Trojan horse version of EXPLORER.EXE, TASKMANAGER.EXE, NDDEAGENT.EXE, or USERINIT.EXE in the root of the system drive (the default user folder, if none is specified).",此事件表示尝试在系统驱动器根目录（默认用户文件夹，如果未指定）中创建 EXPLORER.EXE、TASKMANAGER.EXE、NDDEAGENT.EXE 或 USERINIT.EXE 的特洛伊木马版本。,"This event indicates an attempt to create a Trojan horse (a malicious program that is disguised as legitimate software) version of EXPLORER.EXE, TASKMANAGER.EXE, NDDEAGENT.EXE, or USERINIT.EXE in the root of the system drive (the default user folder, if none is specified).",此事件表示尝试在系统驱动器根目录（默认用户文件夹（如果未指定）。,此事件表示尝试在系统驱动器根目录默认用户文件夹。,此事件表示尝试在系统驱动器根目录中创建 EXPLORER.EXE、TASKMANAGER.EXE、NDDEAGENT.EXE 或 USERINIT.EXE 的特洛伊木马版本。
15,"A construction of authentication codes with arbitration from subspace of vector space over finite fields is presented, the parameters of the code are computed.",提出了有限域上向量空间子空间仲裁的认证码构造，并计算了该码的参数。,"A construction of authentication codes with arbitration from subspace of vector space (a set of elements called vectors, together with some field and operations called addition (mapping two vectors to a vector) and scalar multiplication (mapping a vector and an element in the field to a vector), satisfying a list of constraints) over finite fields is presented, the parameters of the code are computed.",从向量空间的子空间（称为向量的一组元素，以及称为加法（将两个向量映射到一个向量）和标量乘法（将向量和字段中的元素映射到给出了有限域上满足一系列约束的向量），并计算了代码的参数。,从向量空间的子空间称为向量的一组元素，以及称为加法和标量乘法，并计算了代码的参数。,提出了有限域上向量空间子空间仲裁的认证码构造，并计算了该码的参数。
16,And the bottom line is -- the reason why this works is,最重要的是——这有效的原因是,And the bottom line (the summary or result; the most important information) is -- the reason why this works is,底线（总结或结果；最重要的信息）是——它起作用的原因是,底线是——它起作用的原因是,最重要的是——这有效的原因是
17,Her immune system is severely compromised.,她的免疫系统严重受损。,"Her immune system (the system that differentiates self from non-self and protects the body from foreign substances and pathogenic organisms by producing an immune response, it includes organs such as the thymus, the spleen and lymph nodes; tissue such as bone marrow, and lymphoid tissues such as the tonsils; cells such as lymphocytes including the B cells and T cells, and cell products such as antibodies) is severely compromised.",她的免疫系统（区分自我和非自我并通过产生免疫反应保护身体免受外来物质和病原生物侵害的系统，包括胸腺、脾脏和淋巴结等器官；骨髓等组织和淋巴组织（如扁桃体）；细胞（如淋巴细胞，包括 B 细胞和 T 细胞）以及细胞产物（如抗体）受到严重损害。,她的免疫系统区分自我和非自我并通过产生免疫反应保护身体免受外来物质和病原生物侵害的系统，包括胸腺、脾脏和淋巴结等器官；骨髓等组织和淋巴组织；细胞以及细胞产物受到严重损害。,她的免疫系统严重受损。
18,"Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China, Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila.","Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China, Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila.","Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China (see: mainland, China, also), Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila.",澳门航空还飞往中国大陆的北京、上海、成都、古蔺、昆明、南京、深圳和厦门（参见：中国大陆、还有）、台北和高雄、曼谷、首尔、釜山和马尼拉。,澳门航空还飞往中国大陆的北京、上海、成都、古蔺、昆明、南京、深圳和厦门、台北和高雄、曼谷、首尔、釜山和马尼拉。,"Air Macau also flies to Beijing, Shanghai, Chengdu, Gulin, Kunming, Nanjing, Shenzhen and Xiamen in mainland China, Taipei and Kaohsiung, Bangkok, Seoul, Pusan and Manila."
19,Study on a series of fermented taro products with lactic acid,乳酸发酵芋头系列制品的研究,"Study on a series of fermented taro products with lactic acid (2-hydroxy-propanoic acid (CH3.CHOH.CO2H), a syrupy liquid, soluble in water; found in milk, wine and many fruits; used as a food additive and in many industrial applications)",研究一系列用乳酸（2-羟基丙酸（CH3.CHOH.CO2H）制成的发酵芋头产品，这是一种糖浆状液体，可溶于水；存在于牛奶、葡萄酒和许多水果中；用作食品添加剂并用于许多工业用途）,研究一系列用乳酸,乳酸发酵芋头系列制品的研究
20,A STUDY ON THE AGE AND GROWTH OF SILVER CARP HYPOPHTHALMICHTHYS MOLITPIX (CUVIER ET VALENCIENNES) AND BIGHEAD ARISTICHTHYS NOBILIS (RICHARDSON) IN HEI MU MAN RESERVOIR AND THEIR RATIONAL STOCKING,黑目曼水库鲢鱼、鳙鱼的年龄、生长及合理放养的研究,"A STUDY ON THE AGE AND GROWTH OF SILVER CARP (a fish of the species Hypophthalmichthys molitrix, native to East Asia, cultivated as a food fish) HYPOPHTHALMICHTHYS MOLITPIX (CUVIER ET VALENCIENNES) AND BIGHEAD ARISTICHTHYS NOBILIS (RICHARDSON) IN HEI MU MAN RESERVOIR AND THEIR RATIONAL STOCKING","结果表明:在1999年,我国在饲料添加剂市场上占有较大的份额,在1999年我国在饲料添加剂市场上占有较大的份额。","结果表明:在1999年,我国在饲料添加剂市场上占有较大的份额,在1999年我国在饲料添加剂市场上占有较大的份额。",黑目曼水库鲢鱼、鳙鱼的年龄、生长及合理放养的研究
21,(1) The Commissioner shall assign to a motor vehicle in respect of which he has issued an international circulation permit a registration mark which shall be-,(c) 凡署长根据第(1)款发出国际通行许可证，而该许可证是在该车辆的驾驶执照有效期内有效，则署长可在该车辆的驾驶执照有效期内，将该车辆的驾驶执照发给该车辆的注册代理人。,(1) The Commissioner shall assign to a motor vehicle (any land-based means of transportation in the form of a machine that operates primarily through a motor to provide power to rotate the tires) in respect of which he has issued an international circulation permit a registration mark which shall be-,(c) 在第(2)款的规定下，车辆登记号码为车辆登记号码的1%，而该号码的1%，即为车辆登记号码的1%。, 在第款的规定下，车辆登记号码为车辆登记号码的1%，而该号码的1%，即为车辆登记号码的1%。, 凡署长根据第款发出国际通行许可证，而该许可证是在该车辆的驾驶执照有效期内有效，则署长可在该车辆的驾驶执照有效期内，将该车辆的驾驶执照发给该车辆的注册代理人。
22,"(1) Every motor vehicle, other than a bus or light bus, shall be so designed and constructed that the driver-",(c) 在第(2)款的规定下，任何车辆在驾驶人认为合适的情况下，不得超逾任何车辆牌照所指明的牌照长度。,"(1) Every motor vehicle (any land-based means of transportation in the form of a machine that operates primarily through a motor to provide power to rotate the tires), other than a bus or light bus, shall be so designed and constructed that the driver-",(1) 除巴士或小型巴士外，每辆汽车（任何以机器形式运作的陆上交通工具，主要通过发动机提供动力使轮胎转动）均须如此设计和构造，以使司机-, 除巴士或小型巴士外，每辆汽车均须如此设计和构造，以使司机-, 在第款的规定下，任何车辆在驾驶人认为合适的情况下，不得超逾任何车辆牌照所指明的牌照长度。
23,(4) The Society shall not consider work experience gained prior to entering into a trainee solicitor contract in Hong Kong as relevant for the purposes of paragraph (3) unless it is satisfied that-,(4) 律师会不得将在香港签订见习律师合约之前所获得的工作经验视为与第(3)款的目的相关，除非律师会信纳 ——,(4) The Society shall not consider work experience (professional experience) gained prior to entering into a trainee solicitor contract in Hong Kong as relevant for the purposes of paragraph (3) unless it is satisfied that-,(3) 律师会须确保在根据本条例第(2)款订立实习律师合约前，该等实习律师合约是有效的。, 律师会须确保在根据本条例第款订立实习律师合约前，该等实习律师合约是有效的。, 律师会不得将在香港签订见习律师合约之前所获得的工作经验视为与第款的目的相关，除非律师会信纳 ——
24,"(2) In the case of any such accident, the driver of the vehicle shall, if required, give to any police officer or to any person having reasonable grounds for so requiring the following particulars-",(1) 凡在根据第(1)款所订的条文所指明的地点，有人因违反第(1)款而引致意外，则该人可在该地点行使其权力，而该人可在该地点行使其权力。,"(2) In the case of any such accident, the driver of the vehicle shall, if required, give to any police officer (a peace officer who is a member of a police force) or to any person having reasonable grounds for so requiring the following particulars-",（2）发生此类事故时，车辆驾驶员应根据要求向任何警务人员（警察部队中的治安官）或任何有合理理由要求提供以下详细信息的人提供以下详细信息：,发生此类事故时，车辆驾驶员应根据要求向任何警务人员或任何有合理理由要求提供以下详细信息的人提供以下详细信息：, 凡在根据第款所订的条文所指明的地点，有人因违反第款而引致意外，则该人可在该地点行使其权力，而该人可在该地点行使其权力。
25,"(2) Notice may be given to the Commissioner in office hours on any working day before that on which the operation begins, and shall specify-",(1) 任何根据第(1)款作出的命令，如属有效，则可将该命令送交关长，并可将该命令送交关长。,"(2) Notice may be given to the Commissioner in office hours on any working day (the part of a day in which work is done; the number of hours one must work per day for a specified wage) before that on which the operation begins, and shall specify-",(1) 任何人违反任何条文，即属犯罪，可处罚款$ 1000。, 任何人违反任何条文，即属犯罪，可处罚款$ 1000。, 任何根据第款作出的命令，如属有效，则可将该命令送交关长，并可将该命令送交关长。
26,Moulding materials for windows of unplasticized polyvinyl chloride — Part 1: Designation,未增塑聚氯乙烯窗用模塑材料 第 1 部分：名称,"Moulding materials for windows of unplasticized polyvinyl chloride (a thermoplastic resin produced by the polymerization of vinyl chloride; used as an electrical insulator and in many other applications. Can be compounded into flexible and rigid forms through the use of plasticizers, stabilizers, fillers and other modifiers) — Part 1: Designation",未塑化聚氯乙烯（一种由氯乙烯聚合产生的热塑性树脂；用作电绝缘体和许多其他应用）窗户的成型材料。可以通过使用增塑剂、稳定剂、填料和其他材料复合成柔性和刚性形式修饰符）——第 1 部分：名称,未塑化聚氯乙烯窗户的成型材料。可以通过使用增塑剂、稳定剂、填料和其他材料复合成柔性和刚性形式修饰符——第 1 部分：名称,未增塑聚氯乙烯窗用模塑材料 第 1 部分：名称
27,"The ethanol-water extract of Schefflera venulosa was successively partitioned with CHCh, EtoAc and n-butanol to yield crude extracts. From the bioactive part, CHCls extract, three compounds 4-16 were isolated by repeated column chromatography on silica gel, Sephadex LH-20 and RP18, followed by recrystalization.","以脉叶鹅掌藤的乙醇-水提取物为原料,依次用乙醚、乙酸乙酯和正丁醇进行分离,得到粗提取物;通过硅胶、Sephadex LH-20和RP18柱层析和重结晶等方法,从活性部位氯仿提取物中分离得到3个化合物4~16。","The ethanol-water extract of Schefflera venulosa was successively partitioned with CHCh, EtoAc and n-butanol to yield crude extracts. From the bioactive part, CHCls extract, three compounds 4-16 were isolated by repeated column chromatography on silica gel (a granular, porous form of silica made synthetically from sodium silicate and used as a desiccant), Sephadex LH-20 and RP18, followed by recrystalization.",用CHCl、EtoAc和正丁醇依次分离Schefflera venulosa的乙醇-水提取物，得到粗提取物。从生物活性部分CHCls提取物中，通过反复柱层析分离出三种化合物4-16，这些化合物在硅胶（由硅酸钠合成的颗粒状多孔二氧化硅，用作干燥剂）、Sephadex LH-20和RP18上，然后进行重结晶。,用CHCl、EtoAc和正丁醇依次分离Schefflera venulosa的乙醇-水提取物，得到粗提取物。从生物活性部分CHCls提取物中，通过反复柱层析分离出三种化合物4-16，这些化合物在硅胶、Sephadex LH-20和RP18上，然后进行重结晶。,"以脉叶鹅掌藤的乙醇-水提取物为原料,依次用乙醚、乙酸乙酯和正丁醇进行分离,得到粗提取物;通过硅胶、Sephadex LH-20和RP18柱层析和重结晶等方法,从活性部位氯仿提取物中分离得到3个化合物4~16。"
28,So Lo Pun Fresh Water Break Pressure Tank,扫罗盘淡水溢流压力罐,"So Lo Pun Fresh Water (water with a very low content of dissolved salt, as opposed to brackish water or salt water) Break Pressure Tank",So Lo Pun 淡水（溶解盐含量极低的水，与苦咸水或咸水不同） 破压罐,So Lo Pun 淡水 破压罐,扫罗盘淡水溢流压力罐
29,"(2) The committee shall consist of twelve voting members, or such other number as may be prescribed, elected at the annual general meeting together with the following ex-officio members-",(1) 委员会须为本条例所订的条文，并须符合第(1)款的规定。,"(2) The committee shall consist of twelve voting members, or such other number as may be prescribed, elected at the annual general meeting (a meeting that official bodies, associations and companies hold each year to elect the board of directors and inform their members of previous and future activities. Commonly abbreviated as AGM) together with the following ex-officio members-",（2）委员会由在年度股东大会（官方机构、协会和公司每年举行的会议，选举董事会并告知其成员过去和未来的活动。通常缩写为年度股东大会）上选出的十二名有表决权的成员或规定的其他人数，以及以下当然成员组成：,委员会由在年度股东大会上选出的十二名有表决权的成员或规定的其他人数，以及以下当然成员组成：, 委员会须为本条例所订的条文，并须符合第款的规定。
30,but plasma t - PA is less than those of control group and stable angina pectoris with static signifi-cance (P <0.01).,而血浆t-PA低于对照组及稳定性心绞痛组，具有统计学意义（P&lt;0.01）。,but plasma t - PA is less than those of control group and stable angina pectoris (intermittent crushing chest pain caused by reversible myocardial ischemia) with static signifi-cance (P <0.01).,结论:1、本研究旨在探讨急性心肌梗塞（心肌缺血引起的间歇性压迫性胸痛）的临床治疗策略，为临床治疗提供理论依据。,结论:1、本研究旨在探讨急性心肌梗塞的临床治疗策略，为临床治疗提供理论依据。,而血浆t-PA低于对照组及稳定性心绞痛组，具有统计学意义。
31,they couldn't shrink the vacuum tube any more and keep the vacuum.,他们无法再缩小真空管并保持真空。,"they couldn't shrink the vacuum tube (a type of electron tube that controls electron current through vacuum between electrodes within a sealed container, usually of glass or metal and often designed to be easily installed in and removed from the equipment in which it is used) any more and keep the vacuum.",他们无法缩小真空管（一种电子管，通过密封容器内的电极之间的真空控制电子电流，通常由玻璃或金属制成，通常设计为易于安装在使用它的设备中或从设备中拆卸) 不再并保持真空。,他们无法缩小真空管一种电子管，通过密封容器内的电极之间的真空控制电子电流，通常由玻璃或金属制成，通常设计为易于安装在使用它的设备中或从设备中拆卸 不再并保持真空。,他们无法再缩小真空管并保持真空。
32,(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976),(f) 凡律政司根据《裁判官条例》(第227章)第105条提出上诉，而答辩人在该上诉中及在该上诉的初步程序或附带程序中，均可根据本规则获得法律援助; (1976年第65号法律公告),"(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid (free or low-cost service in the field of law, for the indigent) under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976)",(f) 任何根据本规则获授权代表任何人提出上诉，而该等上诉是在该等上诉的聆讯中作出的; (1976年第65号法律公告), 任何根据本规则获授权代表任何人提出上诉，而该等上诉是在该等上诉的聆讯中作出的;, 凡律政司根据《裁判官条例》第105条提出上诉，而答辩人在该上诉中及在该上诉的初步程序或附带程序中，均可根据本规则获得法律援助;
